SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
88987,9,2,2,0,3,5,7,2,4,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,1,0,2,34,1,5,5,,6900.56,7236.58,1,132,8,8,2.24
88988,9,2,2,7,,1,1,1,93,,,1,1,,1,,,,2,1,2,2,2,2,,,,,5,5,1,2,0,2,32,2,1,6,,9932.56,10174.87,2,132,3,3,0.46
88989,9,1,1,4,,3,3,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,1,3,0,1,42,1,1,1,3,25325.38,0.00,1,131,7,7,1.09
88990,9,2,2,52,,3,3,1,,2,,1,1,,,2,6,,1,2,2,1,2,2,,,,,2,1,0,0,0,2,52,1,2,6,,44211.31,43936.12,2,125,5,3,0.84
88991,9,2,2,65,,3,3,2,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,65,1,4,2,,118880.18,117770.34,1,123,7,7,3.48
88992,9,2,2,27,,3,3,2,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,29,1,4,1,5,51642.14,52261.07,1,131,14,14,4.28
88993,9,2,1,8,,1,1,1,104,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,5,5,1,2,0,1,39,1,4,1,5,13487.67,13971.92,1,127,15,15,3.87
88994,9,2,1,32,,1,1,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,6,6,1,3,0,2,35,1,2,1,3,25036.18,32068.44,1,127,6,6,0.92
88995,9,2,1,1,17,1,1,2,18,,,1,1,,,,,,2,1,2,2,2,2,,,,,4,4,2,0,0,2,27,2,3,1,3,10650.20,11085.69,2,129,5,5,0.95
88996,9,2,1,33,,5,7,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,7,7,2,1,0,1,43,1,3,1,3,25132.49,26129.13,1,130,15,15,3.74
88997,9,2,1,11,,3,3,1,132,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,6,6,1,3,0,2,39,1,5,1,5,41619.92,41336.53,2,128,15,15,3.15
88998,9,2,1,17,,4,4,2,207,2,,2,2,2,9,,,,1,2,2,1,2,2,1,2,2,1,7,7,1,4,0,1,46,2,5,1,4,13253.08,13166.82,2,120,77,77,
